method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
addgraph,as-topology,random,0.01,0.1,0.109,0.94
addgraph,as-topology,random,0.01,0.5,0.118,0.95
addgraph,as-topology,random,0.01,1,0.151,0.96
addgraph,as-topology,random,0.05,0.1,0.369,0.94
addgraph,as-topology,random,0.05,0.5,0.429,0.95
addgraph,as-topology,random,0.05,1,0.375,0.94
addgraph,as-topology,random,0.1,0.1,0.58,0.95
addgraph,as-topology,random,0.1,0.5,0.511,0.94
addgraph,as-topology,random,0.1,1,0.519,0.94
addgraph,as-topology,bridge,0.01,0.1,0.063,0.92
addgraph,as-topology,bridge,0.01,0.5,0.065,0.92
addgraph,as-topology,bridge,0.01,1,0.065,0.92
addgraph,as-topology,bridge,0.05,0.1,0.163,0.88
addgraph,as-topology,bridge,0.05,0.5,0.172,0.88
addgraph,as-topology,bridge,0.05,1,0.172,0.84
addgraph,as-topology,bridge,0.1,0.1,0.246,0.85
addgraph,as-topology,bridge,0.1,0.5,0.252,0.86
addgraph,as-topology,bridge,0.1,1,0.244,0.82
addgraph,as-topology,path,0.01,0.1,0.103,0.95
addgraph,as-topology,path,0.01,0.5,0.124,0.95
addgraph,as-topology,path,0.01,1,0.126,0.95
addgraph,as-topology,path,0.05,0.1,0.345,0.95
addgraph,as-topology,path,0.05,0.5,0.318,0.94
addgraph,as-topology,path,0.05,1,0.296,0.93
addgraph,as-topology,path,0.1,0.1,0.576,0.95
addgraph,as-topology,path,0.1,0.5,0.454,0.93
addgraph,as-topology,path,0.1,1,0.456,0.93
addgraph,as-topology,burst,0.01,0.1,0.09,0.93
addgraph,as-topology,burst,0.01,0.5,0.023,0.77
addgraph,as-topology,burst,0.01,1,0.015,0.65
addgraph,as-topology,burst,0.05,0.1,0.123,0.83
addgraph,as-topology,burst,0.05,0.5,0.099,0.78
addgraph,as-topology,burst,0.05,1,0.135,0.83
addgraph,as-topology,burst,0.1,0.1,0.559,0.94
addgraph,as-topology,burst,0.1,0.5,0.186,0.8
addgraph,as-topology,burst,0.1,1,0.24,0.83
addgraph,as-topology,clique,0.01,0.1,0.136,0.94
addgraph,as-topology,clique,0.01,0.5,0.047,0.89
addgraph,as-topology,clique,0.01,1,0.032,0.83
addgraph,as-topology,clique,0.05,0.1,0.325,0.92
addgraph,as-topology,clique,0.05,0.5,0.165,0.86
addgraph,as-topology,clique,0.05,1,0.113,0.82
addgraph,as-topology,clique,0.1,0.1,0.468,0.93
addgraph,as-topology,clique,0.1,0.5,0.275,0.81
addgraph,as-topology,clique,0.1,1,0.197,0.79
addgraph,bitcoin-alpha,random,0.01,0.1,0.01,0.34
addgraph,bitcoin-alpha,random,0.01,0.5,0.01,0.42
addgraph,bitcoin-alpha,random,0.01,1,0.011,0.46
addgraph,bitcoin-alpha,random,0.05,0.1,0.033,0.34
addgraph,bitcoin-alpha,random,0.05,0.5,0.04,0.34
addgraph,bitcoin-alpha,random,0.05,1,0.043,0.45
addgraph,bitcoin-alpha,random,0.1,0.1,0.078,0.11
addgraph,bitcoin-alpha,random,0.1,0.5,0.074,0.37
addgraph,bitcoin-alpha,random,0.1,1,0.075,0.42
addgraph,bitcoin-alpha,bridge,0.01,0.1,0.01,0.37
addgraph,bitcoin-alpha,bridge,0.01,0.5,0.01,0.37
addgraph,bitcoin-alpha,bridge,0.01,1,0.01,0.31
addgraph,bitcoin-alpha,bridge,0.05,0.1,0.034,0.22
addgraph,bitcoin-alpha,bridge,0.05,0.5,0.031,0.26
addgraph,bitcoin-alpha,bridge,0.05,1,0.032,0.21
addgraph,bitcoin-alpha,bridge,0.1,0.1,0.06,0.22
addgraph,bitcoin-alpha,bridge,0.1,0.5,0.061,0.2
addgraph,bitcoin-alpha,bridge,0.1,1,0.06,0.23
addgraph,bitcoin-alpha,path,0.01,0.1,0.01,0.36
