method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
gat,as-topology,random,0.01,0.1,0.02,0.73
gat,as-topology,random,0.01,0.5,0.022,0.75
gat,as-topology,random,0.01,1,0.024,0.76
gat,as-topology,random,0.05,0.1,0.084,0.7
gat,as-topology,random,0.05,0.5,0.087,0.69
gat,as-topology,random,0.05,1,0.078,0.66
gat,as-topology,random,0.1,0.1,0.178,0.76
gat,as-topology,random,0.1,0.5,0.18,0.75
gat,as-topology,random,0.1,1,0.167,0.72
gat,as-topology,bridge,0.01,0.1,0.018,0.69
gat,as-topology,bridge,0.01,0.5,0.024,0.73
gat,as-topology,bridge,0.01,1,0.028,0.78
gat,as-topology,bridge,0.05,0.1,0.233,0.92
gat,as-topology,bridge,0.05,0.5,0.272,0.93
gat,as-topology,bridge,0.05,1,0.235,0.91
gat,as-topology,bridge,0.1,0.1,0.426,0.87
gat,as-topology,bridge,0.1,0.5,0.538,0.9
gat,as-topology,bridge,0.1,1,0.44,0.87
gat,as-topology,path,0.01,0.1,0.024,0.77
gat,as-topology,path,0.01,0.5,0.028,0.81
gat,as-topology,path,0.01,1,0.028,0.82
gat,as-topology,path,0.05,0.1,0.13,0.8
gat,as-topology,path,0.05,0.5,0.143,0.83
gat,as-topology,path,0.05,1,0.126,0.82
gat,as-topology,path,0.1,0.1,0.208,0.79
gat,as-topology,path,0.1,0.5,0.241,0.83
gat,as-topology,path,0.1,1,0.202,0.78
gat,as-topology,burst,0.01,0.1,0.021,0.67
gat,as-topology,burst,0.01,0.5,0.022,0.72
gat,as-topology,burst,0.01,1,0.055,0.73
gat,as-topology,burst,0.05,0.1,0.095,0.74
gat,as-topology,burst,0.05,0.5,0.119,0.77
gat,as-topology,burst,0.05,1,0.12,0.8
gat,as-topology,burst,0.1,0.1,0.155,0.68
gat,as-topology,burst,0.1,0.5,0.187,0.75
gat,as-topology,burst,0.1,1,0.19,0.77
gat,as-topology,clique,0.01,0.1,0.023,0.75
gat,as-topology,clique,0.01,0.5,0.019,0.71
gat,as-topology,clique,0.01,1,0.02,0.74
gat,as-topology,clique,0.05,0.1,0.085,0.74
gat,as-topology,clique,0.05,0.5,0.085,0.73
gat,as-topology,clique,0.05,1,0.092,0.76
gat,as-topology,clique,0.1,0.1,0.167,0.75
gat,as-topology,clique,0.1,0.5,0.162,0.75
gat,as-topology,clique,0.1,1,0.149,0.72
gat,bitcoin-alpha,random,0.01,0.1,0.025,0.56
gat,bitcoin-alpha,random,0.01,0.5,0.03,0.59
gat,bitcoin-alpha,random,0.01,1,0.02,0.49
gat,bitcoin-alpha,random,0.05,0.1,0.07,0.55
gat,bitcoin-alpha,random,0.05,0.5,0.092,0.57
gat,bitcoin-alpha,random,0.05,1,0.07,0.47
gat,bitcoin-alpha,random,0.1,0.1,0.112,0.5
gat,bitcoin-alpha,random,0.1,0.5,0.14,0.55
gat,bitcoin-alpha,random,0.1,1,0.134,0.53
gat,bitcoin-alpha,bridge,0.01,0.1,0.02,0.44
gat,bitcoin-alpha,bridge,0.01,0.5,0.01,0.38
gat,bitcoin-alpha,bridge,0.01,1,0.03,0.5
gat,bitcoin-alpha,bridge,0.05,0.1,0.311,0.85
gat,bitcoin-alpha,bridge,0.05,0.5,0.3,0.78
gat,bitcoin-alpha,bridge,0.05,1,0.233,0.76
gat,bitcoin-alpha,bridge,0.1,0.1,0.534,0.88
gat,bitcoin-alpha,bridge,0.1,0.5,0.48,0.85
gat,bitcoin-alpha,bridge,0.1,1,0.562,0.86
gat,bitcoin-alpha,path,0.01,0.1,0.014,0.54
gat,bitcoin-alpha,path,0.01,0.5,0.03,0.65
gat,bitcoin-alpha,path,0.01,1,0.03,0.7
gat,bitcoin-alpha,path,0.05,0.1,0.08,0.55
gat,bitcoin-alpha,path,0.05,0.5,0.09,0.55
gat,bitcoin-alpha,path,0.05,1,0.1,0.62
gat,bitcoin-alpha,path,0.1,0.1,0.12,0.5
gat,bitcoin-alpha,path,0.1,0.5,0.24,0.71
gat,bitcoin-alpha,path,0.1,1,0.13,0.55
gat,bitcoin-alpha,burst,0.01,0.1,0.1,0.92
gat,bitcoin-alpha,burst,0.01,0.5,0.01,0.42
gat,bitcoin-alpha,burst,0.01,1,0.143,0.95
gat,bitcoin-alpha,burst,0.05,0.1,0.043,0.33
gat,bitcoin-alpha,burst,0.05,0.5,0.061,0.49
gat,bitcoin-alpha,burst,0.05,1,0.05,0.43
gat,bitcoin-alpha,burst,0.1,0.1,0.153,0.61
gat,bitcoin-alpha,burst,0.1,0.5,0.1,0.52
gat,bitcoin-alpha,burst,0.1,1,0.162,0.54
gat,bitcoin-alpha,clique,0.01,0.1,0.034,0.63
gat,bitcoin-alpha,clique,0.01,0.5,0.021,0.31
gat,bitcoin-alpha,clique,0.01,1,0.031,0.52
gat,bitcoin-alpha,clique,0.05,0.1,0.1,0.66
gat,bitcoin-alpha,clique,0.05,0.5,0.051,0.57
gat,bitcoin-alpha,clique,0.05,1,0.053,0.48
gat,bitcoin-alpha,clique,0.1,0.1,0.222,0.76
gat,bitcoin-alpha,clique,0.1,0.5,0.14,0.56
gat,bitcoin-alpha,clique,0.1,1,0.172,0.62
gat,bitcoin-otc,random,0.01,0.1,0.014,0.44
gat,bitcoin-otc,random,0.01,0.5,0.02,0.47
gat,bitcoin-otc,random,0.01,1,0.011,0.46
gat,bitcoin-otc,random,0.05,0.1,0.05,0.43
gat,bitcoin-otc,random,0.05,0.5,0.05,0.48
gat,bitcoin-otc,random,0.05,1,0.055,0.46
gat,bitcoin-otc,random,0.1,0.1,0.08,0.41
gat,bitcoin-otc,random,0.1,0.5,0.092,0.47
gat,bitcoin-otc,random,0.1,1,0.08,0.38
gat,bitcoin-otc,bridge,0.01,0.1,0.02,0.47
gat,bitcoin-otc,bridge,0.01,0.5,0.03,0.47
gat,bitcoin-otc,bridge,0.01,1,0.03,0.52
gat,bitcoin-otc,bridge,0.05,0.1,0.153,0.77
gat,bitcoin-otc,bridge,0.05,0.5,0.12,0.66
gat,bitcoin-otc,bridge,0.05,1,0.131,0.7
gat,bitcoin-otc,bridge,0.1,0.1,0.284,0.8
gat,bitcoin-otc,bridge,0.1,0.5,0.305,0.79
gat,bitcoin-otc,bridge,0.1,1,0.25,0.78
gat,bitcoin-otc,path,0.01,0.1,0.01,0.47
gat,bitcoin-otc,path,0.01,0.5,0.025,0.53
gat,bitcoin-otc,path,0.01,1,0.021,0.48
gat,bitcoin-otc,path,0.05,0.1,0.08,0.57
gat,bitcoin-otc,path,0.05,0.5,0.09,0.62
gat,bitcoin-otc,path,0.05,1,0.08,0.6
gat,bitcoin-otc,path,0.1,0.1,0.14,0.59
gat,bitcoin-otc,path,0.1,0.5,0.121,0.55
gat,bitcoin-otc,path,0.1,1,0.111,0.52
gat,bitcoin-otc,burst,0.01,0.1,0.01,0.17
gat,bitcoin-otc,burst,0.01,0.5,0.02,0.6
gat,bitcoin-otc,burst,0.01,1,0.031,0.71
gat,bitcoin-otc,burst,0.05,0.1,0.042,0.35
gat,bitcoin-otc,burst,0.05,0.5,0.052,0.49
gat,bitcoin-otc,burst,0.05,1,0.06,0.46
gat,bitcoin-otc,burst,0.1,0.1,0.1,0.52
gat,bitcoin-otc,burst,0.1,0.5,0.08,0.4
gat,bitcoin-otc,burst,0.1,1,0.15,0.64
gat,bitcoin-otc,clique,0.01,0.1,0.01,0.44
gat,bitcoin-otc,clique,0.01,0.5,0.02,0.71
gat,bitcoin-otc,clique,0.01,1,0.01,0.43
gat,bitcoin-otc,clique,0.05,0.1,0.05,0.41
gat,bitcoin-otc,clique,0.05,0.5,0.064,0.57
gat,bitcoin-otc,clique,0.05,1,0.05,0.43
gat,bitcoin-otc,clique,0.1,0.1,0.081,0.43
gat,bitcoin-otc,clique,0.1,0.5,0.08,0.42
gat,bitcoin-otc,clique,0.1,1,0.061,0.27
gat,digg-homo,random,0.01,0.1,0.01,0.24
gat,digg-homo,random,0.01,0.5,0.01,0.26
gat,digg-homo,random,0.01,1,0.01,0.24
gat,digg-homo,random,0.05,0.1,0.03,0.26
gat,digg-homo,random,0.05,0.5,0.03,0.23
gat,digg-homo,random,0.05,1,0.03,0.24
gat,digg-homo,random,0.1,0.1,0.055,0.23
gat,digg-homo,random,0.1,0.5,0.06,0.27
gat,digg-homo,random,0.1,1,0.06,0.25
gat,digg-homo,bridge,0.01,0.1,0.01,0.21
gat,digg-homo,bridge,0.01,0.5,0.01,0.27
gat,digg-homo,bridge,0.01,1,0.01,0.23
gat,digg-homo,bridge,0.05,0.1,0.08,0.58
gat,digg-homo,bridge,0.05,0.5,0.07,0.53
gat,digg-homo,bridge,0.05,1,0.06,0.5
gat,digg-homo,bridge,0.1,0.1,0.214,0.7
gat,digg-homo,bridge,0.1,0.5,0.25,0.73
gat,digg-homo,bridge,0.1,1,0.215,0.7
gat,digg-homo,path,0.01,0.1,0.01,0.33
gat,digg-homo,path,0.01,0.5,0.01,0.33
gat,digg-homo,path,0.01,1,0.01,0.33
gat,digg-homo,path,0.05,0.1,0.033,0.33
gat,digg-homo,path,0.05,0.5,0.032,0.32
gat,digg-homo,path,0.05,1,0.031,0.31
gat,digg-homo,path,0.1,0.1,0.063,0.33
gat,digg-homo,path,0.1,0.5,0.063,0.33
gat,digg-homo,path,0.1,1,0.061,0.31
gat,digg-homo,burst,0.01,0.1,0.01,0.18
gat,digg-homo,burst,0.01,0.5,0.01,0.22
gat,digg-homo,burst,0.01,1,0.01,0.27
gat,digg-homo,burst,0.05,0.1,0.031,0.26
gat,digg-homo,burst,0.05,0.5,0.031,0.29
gat,digg-homo,burst,0.05,1,0.03,0.22
gat,digg-homo,burst,0.1,0.1,0.055,0.23
gat,digg-homo,burst,0.1,0.5,0.06,0.23
gat,digg-homo,burst,0.1,1,0.06,0.24
gat,digg-homo,clique,0.01,0.1,0.01,0.15
gat,digg-homo,clique,0.01,0.5,0.01,0.2
gat,digg-homo,clique,0.01,1,0.01,0.16
gat,digg-homo,clique,0.05,0.1,0.033,0.3
gat,digg-homo,clique,0.05,0.5,0.03,0.22
gat,digg-homo,clique,0.05,1,0.033,0.28
gat,digg-homo,clique,0.1,0.1,0.06,0.22
gat,digg-homo,clique,0.1,0.5,0.06,0.24
gat,digg-homo,clique,0.1,1,0.06,0.26
gat,email-dnc,random,0.01,0.1,0.01,0.26
gat,email-dnc,random,0.01,0.5,0.01,0.28
gat,email-dnc,random,0.01,1,0.02,0.29
gat,email-dnc,random,0.05,0.1,0.04,0.31
gat,email-dnc,random,0.05,0.5,0.042,0.34
gat,email-dnc,random,0.05,1,0.04,0.3
gat,email-dnc,random,0.1,0.1,0.08,0.36
gat,email-dnc,random,0.1,0.5,0.075,0.31
gat,email-dnc,random,0.1,1,0.09,0.43
gat,email-dnc,bridge,0.01,0.1,0.01,0.38
gat,email-dnc,bridge,0.01,0.5,0.01,0.36
gat,email-dnc,bridge,0.01,1,0.01,0.39
gat,email-dnc,bridge,0.05,0.1,0.09,0.66
