method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
gcn,as-topology,random,0.01,0.1,0.03,0.82
gcn,as-topology,random,0.01,0.5,0.025,0.81
gcn,as-topology,random,0.01,1,0.03,0.83
gcn,as-topology,random,0.05,0.1,0.122,0.82
gcn,as-topology,random,0.05,0.5,0.12,0.81
gcn,as-topology,random,0.05,1,0.12,0.81
gcn,as-topology,random,0.1,0.1,0.19,0.78
gcn,as-topology,random,0.1,0.5,0.22,0.82
gcn,as-topology,random,0.1,1,0.21,0.81
gcn,as-topology,bridge,0.01,0.1,0.025,0.81
gcn,as-topology,bridge,0.01,0.5,0.03,0.84
gcn,as-topology,bridge,0.01,1,0.03,0.82
gcn,as-topology,bridge,0.05,0.1,0.18,0.88
gcn,as-topology,bridge,0.05,0.5,0.18,0.88
gcn,as-topology,bridge,0.05,1,0.182,0.88
gcn,as-topology,bridge,0.1,0.1,0.353,0.91
gcn,as-topology,bridge,0.1,0.5,0.383,0.91
gcn,as-topology,bridge,0.1,1,0.373,0.91
gcn,as-topology,path,0.01,0.1,0.033,0.86
gcn,as-topology,path,0.01,0.5,0.032,0.85
gcn,as-topology,path,0.01,1,0.04,0.87
gcn,as-topology,path,0.05,0.1,0.151,0.86
gcn,as-topology,path,0.05,0.5,0.15,0.86
gcn,as-topology,path,0.05,1,0.14,0.85
gcn,as-topology,path,0.1,0.1,0.26,0.87
gcn,as-topology,path,0.1,0.5,0.28,0.87
gcn,as-topology,path,0.1,1,0.26,0.86
gcn,as-topology,burst,0.01,0.1,0.043,0.88
gcn,as-topology,burst,0.01,0.5,0.032,0.85
gcn,as-topology,burst,0.01,1,0.022,0.78
gcn,as-topology,burst,0.05,0.1,0.13,0.83
gcn,as-topology,burst,0.05,0.5,0.181,0.83
gcn,as-topology,burst,0.05,1,0.13,0.81
gcn,as-topology,burst,0.1,0.1,0.19,0.78
gcn,as-topology,burst,0.1,0.5,0.235,0.84
gcn,as-topology,burst,0.1,1,0.21,0.82
gcn,as-topology,clique,0.01,0.1,0.02,0.73
gcn,as-topology,clique,0.01,0.5,0.014,0.65
gcn,as-topology,clique,0.01,1,0.02,0.75
gcn,as-topology,clique,0.05,0.1,0.08,0.73
gcn,as-topology,clique,0.05,0.5,0.08,0.72
gcn,as-topology,clique,0.05,1,0.063,0.66
gcn,as-topology,clique,0.1,0.1,0.142,0.73
gcn,as-topology,clique,0.1,0.5,0.14,0.73
gcn,as-topology,clique,0.1,1,0.15,0.74
gcn,bitcoin-alpha,random,0.01,0.1,0.03,0.62
gcn,bitcoin-alpha,random,0.01,0.5,0.03,0.73
gcn,bitcoin-alpha,random,0.01,1,0.024,0.65
gcn,bitcoin-alpha,random,0.05,0.1,0.073,0.62
gcn,bitcoin-alpha,random,0.05,0.5,0.09,0.68
gcn,bitcoin-alpha,random,0.05,1,0.081,0.63
gcn,bitcoin-alpha,random,0.1,0.1,0.18,0.68
gcn,bitcoin-alpha,random,0.1,0.5,0.16,0.66
gcn,bitcoin-alpha,random,0.1,1,0.152,0.67
gcn,bitcoin-alpha,bridge,0.01,0.1,0.05,0.47
gcn,bitcoin-alpha,bridge,0.01,0.5,0.014,0.59
gcn,bitcoin-alpha,bridge,0.01,1,0.012,0.57
gcn,bitcoin-alpha,bridge,0.05,0.1,0.18,0.82
gcn,bitcoin-alpha,bridge,0.05,0.5,0.125,0.75
gcn,bitcoin-alpha,bridge,0.05,1,0.133,0.8
gcn,bitcoin-alpha,bridge,0.1,0.1,0.36,0.83
gcn,bitcoin-alpha,bridge,0.1,0.5,0.41,0.88
gcn,bitcoin-alpha,bridge,0.1,1,0.36,0.87
gcn,bitcoin-alpha,path,0.01,0.1,0.03,0.73
gcn,bitcoin-alpha,path,0.01,0.5,0.03,0.79
gcn,bitcoin-alpha,path,0.01,1,0.033,0.81
gcn,bitcoin-alpha,path,0.05,0.1,0.095,0.74
gcn,bitcoin-alpha,path,0.05,0.5,0.11,0.76
gcn,bitcoin-alpha,path,0.05,1,0.11,0.75
gcn,bitcoin-alpha,path,0.1,0.1,0.23,0.78
gcn,bitcoin-alpha,path,0.1,0.5,0.223,0.8
gcn,bitcoin-alpha,path,0.1,1,0.19,0.77
gcn,bitcoin-alpha,burst,0.01,0.1,0.06,0.87
gcn,bitcoin-alpha,burst,0.01,0.5,0.021,0.76
gcn,bitcoin-alpha,burst,0.01,1,0.073,0.94
gcn,bitcoin-alpha,burst,0.05,0.1,0.092,0.61
gcn,bitcoin-alpha,burst,0.05,0.5,0.12,0.73
gcn,bitcoin-alpha,burst,0.05,1,0.08,0.6
gcn,bitcoin-alpha,burst,0.1,0.1,0.213,0.76
gcn,bitcoin-alpha,burst,0.1,0.5,0.133,0.65
gcn,bitcoin-alpha,burst,0.1,1,0.202,0.68
gcn,bitcoin-alpha,clique,0.01,0.1,0.022,0.49
gcn,bitcoin-alpha,clique,0.01,0.5,0.015,0.19
gcn,bitcoin-alpha,clique,0.01,1,0.02,0.37
gcn,bitcoin-alpha,clique,0.05,0.1,0.052,0.5
gcn,bitcoin-alpha,clique,0.05,0.5,0.035,0.37
gcn,bitcoin-alpha,clique,0.05,1,0.034,0.36
gcn,bitcoin-alpha,clique,0.1,0.1,0.084,0.35
gcn,bitcoin-alpha,clique,0.1,0.5,0.12,0.58
gcn,bitcoin-alpha,clique,0.1,1,0.124,0.52
gcn,bitcoin-otc,random,0.01,0.1,0.011,0.5
gcn,bitcoin-otc,random,0.01,0.5,0.012,0.56
gcn,bitcoin-otc,random,0.01,1,0.01,0.51
gcn,bitcoin-otc,random,0.05,0.1,0.06,0.58
gcn,bitcoin-otc,random,0.05,0.5,0.051,0.54
gcn,bitcoin-otc,random,0.05,1,0.06,0.57
gcn,bitcoin-otc,random,0.1,0.1,0.1,0.54
gcn,bitcoin-otc,random,0.1,0.5,0.11,0.57
gcn,bitcoin-otc,random,0.1,1,0.11,0.57
gcn,bitcoin-otc,bridge,0.01,0.1,0.012,0.58
gcn,bitcoin-otc,bridge,0.01,0.5,0.011,0.55
gcn,bitcoin-otc,bridge,0.01,1,0.013,0.6
gcn,bitcoin-otc,bridge,0.05,0.1,0.09,0.69
gcn,bitcoin-otc,bridge,0.05,0.5,0.08,0.66
gcn,bitcoin-otc,bridge,0.05,1,0.083,0.7
gcn,bitcoin-otc,bridge,0.1,0.1,0.21,0.77
gcn,bitcoin-otc,bridge,0.1,0.5,0.19,0.76
gcn,bitcoin-otc,bridge,0.1,1,0.23,0.79
gcn,bitcoin-otc,path,0.01,0.1,0.014,0.65
gcn,bitcoin-otc,path,0.01,0.5,0.02,0.65
gcn,bitcoin-otc,path,0.01,1,0.011,0.6
gcn,bitcoin-otc,path,0.05,0.1,0.06,0.61
gcn,bitcoin-otc,path,0.05,0.5,0.07,0.65
gcn,bitcoin-otc,path,0.05,1,0.074,0.67
gcn,bitcoin-otc,path,0.1,0.1,0.131,0.66
gcn,bitcoin-otc,path,0.1,0.5,0.11,0.59
gcn,bitcoin-otc,path,0.1,1,0.12,0.62
gcn,bitcoin-otc,burst,0.01,0.1,0.024,0.71
gcn,bitcoin-otc,burst,0.01,0.5,0.062,0.89
gcn,bitcoin-otc,burst,0.01,1,0.02,0.59
gcn,bitcoin-otc,burst,0.05,0.1,0.07,0.54
gcn,bitcoin-otc,burst,0.05,0.5,0.09,0.72
gcn,bitcoin-otc,burst,0.05,1,0.07,0.6
gcn,bitcoin-otc,burst,0.1,0.1,0.141,0.67
gcn,bitcoin-otc,burst,0.1,0.5,0.15,0.67
gcn,bitcoin-otc,burst,0.1,1,0.14,0.63
gcn,bitcoin-otc,clique,0.01,0.1,0.01,0.33
gcn,bitcoin-otc,clique,0.01,0.5,0.02,0.55
gcn,bitcoin-otc,clique,0.01,1,0.01,0.17
gcn,bitcoin-otc,clique,0.05,0.1,0.041,0.39
gcn,bitcoin-otc,clique,0.05,0.5,0.04,0.32
gcn,bitcoin-otc,clique,0.05,1,0.04,0.33
gcn,bitcoin-otc,clique,0.1,0.1,0.061,0.28
gcn,bitcoin-otc,clique,0.1,0.5,0.07,0.35
gcn,bitcoin-otc,clique,0.1,1,0.062,0.29
