method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
generaldyg,bitcoin-alpha,random,0.01,0.1,0.119,0.76
generaldyg,bitcoin-alpha,random,0.01,0.5,0.156,0.71
generaldyg,bitcoin-alpha,random,0.01,1,0.062,0.65
generaldyg,bitcoin-alpha,random,0.05,0.1,0.035,0.25
generaldyg,bitcoin-alpha,random,0.05,0.5,0.073,0.38
generaldyg,bitcoin-alpha,random,0.05,1,0.17,0.52
generaldyg,bitcoin-alpha,random,0.1,0.1,0.434,0.75
generaldyg,bitcoin-alpha,random,0.1,0.5,0.154,0.64
generaldyg,bitcoin-alpha,random,0.1,1,0.153,0.63
generaldyg,bitcoin-alpha,bridge,0.01,0.1,0.057,0.62
generaldyg,bitcoin-alpha,bridge,0.01,0.5,0.149,0.79
generaldyg,bitcoin-alpha,bridge,0.01,1,0.112,0.77
generaldyg,bitcoin-alpha,bridge,0.05,0.1,0.116,0.56
generaldyg,bitcoin-alpha,bridge,0.05,0.5,0.034,0.23
generaldyg,bitcoin-alpha,bridge,0.05,1,0.096,0.55
generaldyg,bitcoin-alpha,bridge,0.1,0.1,0.12,0.51
generaldyg,bitcoin-alpha,bridge,0.1,0.5,0.143,0.57
generaldyg,bitcoin-alpha,bridge,0.1,1,0.139,0.56
generaldyg,bitcoin-alpha,path,0.01,0.1,0.008,0.25
generaldyg,bitcoin-alpha,path,0.01,0.5,0.095,0.7
generaldyg,bitcoin-alpha,path,0.01,1,0.034,0.45
generaldyg,bitcoin-alpha,path,0.05,0.1,0.179,0.67
generaldyg,bitcoin-alpha,path,0.05,0.5,0.235,0.75
generaldyg,bitcoin-alpha,path,0.05,1,0.152,0.64
generaldyg,bitcoin-alpha,path,0.1,0.1,0.058,0.24
generaldyg,bitcoin-alpha,path,0.1,0.5,0.356,0.74
generaldyg,bitcoin-alpha,path,0.1,1,0.264,0.67
generaldyg,bitcoin-alpha,burst,0.01,0.1,0.035,0.75
generaldyg,bitcoin-alpha,burst,0.01,0.5,0.027,0.68
generaldyg,bitcoin-alpha,burst,0.01,1,0.008,0.27
generaldyg,bitcoin-alpha,burst,0.05,0.1,0.051,0.36
generaldyg,bitcoin-alpha,burst,0.05,0.5,0.131,0.64
generaldyg,bitcoin-alpha,burst,0.05,1,0.08,0.52
generaldyg,bitcoin-alpha,burst,0.1,0.1,0.235,0.66
generaldyg,bitcoin-alpha,burst,0.1,0.5,0.125,0.59
generaldyg,bitcoin-alpha,burst,0.1,1,0.151,0.53
generaldyg,bitcoin-alpha,clique,0.01,0.1,0.015,0.19
generaldyg,bitcoin-alpha,clique,0.01,0.5,0.014,0.14
generaldyg,bitcoin-alpha,clique,0.01,1,0.044,0.76
generaldyg,bitcoin-alpha,clique,0.05,0.1,0.072,0.7
generaldyg,bitcoin-alpha,clique,0.05,0.5,0.063,0.47
generaldyg,bitcoin-alpha,clique,0.05,1,0.053,0.27
generaldyg,bitcoin-alpha,clique,0.1,0.1,0.151,0.72
generaldyg,bitcoin-alpha,clique,0.1,0.5,0.138,0.56
generaldyg,bitcoin-alpha,clique,0.1,1,0.098,0.4
generaldyg,bitcoin-otc,random,0.01,0.1,0.057,0.52
generaldyg,bitcoin-otc,random,0.01,0.5,0.022,0.38
generaldyg,bitcoin-otc,random,0.01,1,0.012,0.3
generaldyg,bitcoin-otc,random,0.05,0.1,0.078,0.52
generaldyg,bitcoin-otc,random,0.05,0.5,0.04,0.28
generaldyg,bitcoin-otc,random,0.05,1,0.038,0.3
generaldyg,bitcoin-otc,random,0.1,0.1,0.081,0.72
generaldyg,bitcoin-otc,random,0.1,0.5,0.355,0.71
generaldyg,bitcoin-otc,random,0.1,1,0.126,0.41
generaldyg,bitcoin-otc,bridge,0.01,0.1,0.029,0.57
generaldyg,bitcoin-otc,bridge,0.01,0.5,0.01,0.5
generaldyg,bitcoin-otc,bridge,0.01,1,0.014,0.51
generaldyg,bitcoin-otc,bridge,0.05,0.1,0.103,0.61
generaldyg,bitcoin-otc,bridge,0.05,0.5,0.055,0.48
generaldyg,bitcoin-otc,bridge,0.05,1,0.113,0.66
generaldyg,bitcoin-otc,bridge,0.1,0.1,0.097,0.52
generaldyg,bitcoin-otc,bridge,0.1,0.5,0.147,0.6
generaldyg,bitcoin-otc,bridge,0.1,1,0.124,0.52
generaldyg,bitcoin-otc,path,0.01,0.1,0.051,0.7
generaldyg,bitcoin-otc,path,0.01,0.5,0.012,0.52
generaldyg,bitcoin-otc,path,0.01,1,0.01,0.5
generaldyg,bitcoin-otc,path,0.05,0.1,0.189,0.68
generaldyg,bitcoin-otc,path,0.05,0.5,0.051,0.37
generaldyg,bitcoin-otc,path,0.05,1,0.188,0.68
generaldyg,bitcoin-otc,path,0.1,0.1,0.317,0.71
generaldyg,bitcoin-otc,path,0.1,0.5,0.131,0.61
generaldyg,bitcoin-otc,path,0.1,1,0.095,0.44
generaldyg,bitcoin-otc,burst,0.01,0.1,0.019,0.5
generaldyg,bitcoin-otc,burst,0.01,0.5,0.038,0.6
