method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
graphsage,as-topology,random,0.01,0.1,0.095,0.89
graphsage,as-topology,random,0.01,0.5,0.072,0.87
graphsage,as-topology,random,0.01,1,0.08,0.88
graphsage,as-topology,random,0.05,0.1,0.273,0.89
graphsage,as-topology,random,0.05,0.5,0.27,0.88
graphsage,as-topology,random,0.05,1,0.26,0.88
graphsage,as-topology,random,0.1,0.1,0.422,0.88
graphsage,as-topology,random,0.1,0.5,0.41,0.89
graphsage,as-topology,random,0.1,1,0.411,0.88
graphsage,as-topology,bridge,0.01,0.1,0.08,0.89
graphsage,as-topology,bridge,0.01,0.5,0.065,0.87
graphsage,as-topology,bridge,0.01,1,0.09,0.91
graphsage,as-topology,bridge,0.05,0.1,0.334,0.92
graphsage,as-topology,bridge,0.05,0.5,0.331,0.92
graphsage,as-topology,bridge,0.05,1,0.36,0.93
graphsage,as-topology,bridge,0.1,0.1,0.515,0.93
graphsage,as-topology,bridge,0.1,0.5,0.501,0.93
graphsage,as-topology,bridge,0.1,1,0.56,0.94
graphsage,as-topology,path,0.01,0.1,0.061,0.89
graphsage,as-topology,path,0.01,0.5,0.07,0.9
graphsage,as-topology,path,0.01,1,0.071,0.89
graphsage,as-topology,path,0.05,0.1,0.27,0.9
graphsage,as-topology,path,0.05,0.5,0.281,0.9
graphsage,as-topology,path,0.05,1,0.28,0.9
graphsage,as-topology,path,0.1,0.1,0.391,0.89
graphsage,as-topology,path,0.1,0.5,0.4,0.89
graphsage,as-topology,path,0.1,1,0.4,0.9
graphsage,as-topology,burst,0.01,0.1,0.06,0.88
graphsage,as-topology,burst,0.01,0.5,0.111,0.93
graphsage,as-topology,burst,0.01,1,0.093,0.89
graphsage,as-topology,burst,0.05,0.1,0.31,0.9
graphsage,as-topology,burst,0.05,0.5,0.274,0.88
graphsage,as-topology,burst,0.05,1,0.283,0.89
graphsage,as-topology,burst,0.1,0.1,0.411,0.88
graphsage,as-topology,burst,0.1,0.5,0.44,0.9
graphsage,as-topology,burst,0.1,1,0.43,0.9
graphsage,as-topology,clique,0.01,0.1,0.062,0.9
graphsage,as-topology,clique,0.01,0.5,0.043,0.85
graphsage,as-topology,clique,0.01,1,0.055,0.88
graphsage,as-topology,clique,0.05,0.1,0.19,0.88
graphsage,as-topology,clique,0.05,0.5,0.162,0.84
graphsage,as-topology,clique,0.05,1,0.15,0.83
graphsage,as-topology,clique,0.1,0.1,0.314,0.88
graphsage,as-topology,clique,0.1,0.5,0.3,0.87
graphsage,as-topology,clique,0.1,1,0.29,0.87
graphsage,bitcoin-alpha,random,0.01,0.1,0.08,0.76
graphsage,bitcoin-alpha,random,0.01,0.5,0.033,0.68
graphsage,bitcoin-alpha,random,0.01,1,0.051,0.69
graphsage,bitcoin-alpha,random,0.05,0.1,0.12,0.66
graphsage,bitcoin-alpha,random,0.05,0.5,0.142,0.66
graphsage,bitcoin-alpha,random,0.05,1,0.11,0.64
graphsage,bitcoin-alpha,random,0.1,0.1,0.274,0.72
graphsage,bitcoin-alpha,random,0.1,0.5,0.25,0.72
graphsage,bitcoin-alpha,random,0.1,1,0.234,0.71
graphsage,bitcoin-alpha,bridge,0.01,0.1,0.061,0.67
graphsage,bitcoin-alpha,bridge,0.01,0.5,0.023,0.62
graphsage,bitcoin-alpha,bridge,0.01,1,0.023,0.66
graphsage,bitcoin-alpha,bridge,0.05,0.1,0.161,0.77
graphsage,bitcoin-alpha,bridge,0.05,0.5,0.162,0.8
graphsage,bitcoin-alpha,bridge,0.05,1,0.1,0.7
graphsage,bitcoin-alpha,bridge,0.1,0.1,0.25,0.76
graphsage,bitcoin-alpha,bridge,0.1,0.5,0.274,0.78
graphsage,bitcoin-alpha,bridge,0.1,1,0.22,0.74
graphsage,bitcoin-alpha,path,0.01,0.1,0.06,0.72
graphsage,bitcoin-alpha,path,0.01,0.5,0.024,0.58
graphsage,bitcoin-alpha,path,0.01,1,0.024,0.63
graphsage,bitcoin-alpha,path,0.05,0.1,0.093,0.68
graphsage,bitcoin-alpha,path,0.05,0.5,0.12,0.68
graphsage,bitcoin-alpha,path,0.05,1,0.12,0.65
graphsage,bitcoin-alpha,path,0.1,0.1,0.183,0.68
graphsage,bitcoin-alpha,path,0.1,0.5,0.2,0.7
graphsage,bitcoin-alpha,path,0.1,1,0.22,0.73
graphsage,bitcoin-alpha,burst,0.01,0.1,0.013,0.62
graphsage,bitcoin-alpha,burst,0.01,0.5,0.011,0.44
graphsage,bitcoin-alpha,burst,0.01,1,0.03,0.78
graphsage,bitcoin-alpha,burst,0.05,0.1,0.18,0.75
graphsage,bitcoin-alpha,burst,0.05,0.5,0.08,0.58
graphsage,bitcoin-alpha,burst,0.05,1,0.09,0.52
graphsage,bitcoin-alpha,burst,0.1,0.1,0.203,0.68
graphsage,bitcoin-alpha,burst,0.1,0.5,0.33,0.77
graphsage,bitcoin-alpha,burst,0.1,1,0.18,0.62
graphsage,bitcoin-alpha,clique,0.01,0.1,0.04,0.63
graphsage,bitcoin-alpha,clique,0.01,0.5,0.044,0.42
graphsage,bitcoin-alpha,clique,0.01,1,0.03,0.59
graphsage,bitcoin-alpha,clique,0.05,0.1,0.08,0.67
graphsage,bitcoin-alpha,clique,0.05,0.5,0.054,0.5
graphsage,bitcoin-alpha,clique,0.05,1,0.064,0.58
graphsage,bitcoin-alpha,clique,0.1,0.1,0.13,0.56
graphsage,bitcoin-alpha,clique,0.1,0.5,0.14,0.58
graphsage,bitcoin-alpha,clique,0.1,1,0.1,0.45
graphsage,bitcoin-otc,random,0.01,0.1,0.09,0.7
graphsage,bitcoin-otc,random,0.01,0.5,0.07,0.72
graphsage,bitcoin-otc,random,0.01,1,0.072,0.73
graphsage,bitcoin-otc,random,0.05,0.1,0.15,0.67
graphsage,bitcoin-otc,random,0.05,0.5,0.163,0.68
graphsage,bitcoin-otc,random,0.05,1,0.151,0.69
graphsage,bitcoin-otc,random,0.1,0.1,0.291,0.7
graphsage,bitcoin-otc,random,0.1,0.5,0.28,0.71
graphsage,bitcoin-otc,random,0.1,1,0.244,0.67
graphsage,bitcoin-otc,bridge,0.01,0.1,0.051,0.71
graphsage,bitcoin-otc,bridge,0.01,0.5,0.062,0.67
graphsage,bitcoin-otc,bridge,0.01,1,0.05,0.7
