method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
rustgraph,as-topology,random,0.01,0.1,0.092,0.91
rustgraph,as-topology,random,0.01,0.5,0.099,0.92
rustgraph,as-topology,random,0.01,1,0.103,0.92
rustgraph,as-topology,random,0.05,0.1,0.249,0.9
rustgraph,as-topology,random,0.05,0.5,0.315,0.92
rustgraph,as-topology,random,0.05,1,0.302,0.91
rustgraph,as-topology,random,0.1,0.1,0.49,0.92
rustgraph,as-topology,random,0.1,0.5,0.49,0.92
rustgraph,as-topology,random,0.1,1,0.479,0.92
rustgraph,as-topology,bridge,0.01,0.1,0.05,0.87
rustgraph,as-topology,bridge,0.01,0.5,0.069,0.9
rustgraph,as-topology,bridge,0.01,1,0.064,0.9
rustgraph,as-topology,bridge,0.05,0.1,0.187,0.85
rustgraph,as-topology,bridge,0.05,0.5,0.186,0.87
rustgraph,as-topology,bridge,0.05,1,0.16,0.84
rustgraph,as-topology,bridge,0.1,0.1,0.256,0.85
rustgraph,as-topology,bridge,0.1,0.5,0.225,0.81
rustgraph,as-topology,bridge,0.1,1,0.245,0.84
rustgraph,as-topology,path,0.01,0.1,0.019,0.76
rustgraph,as-topology,path,0.01,0.5,0.023,0.79
rustgraph,as-topology,path,0.01,1,0.028,0.82
rustgraph,as-topology,path,0.05,0.1,0.091,0.77
rustgraph,as-topology,path,0.05,0.5,0.095,0.78
rustgraph,as-topology,path,0.05,1,0.119,0.81
rustgraph,as-topology,path,0.1,0.1,0.141,0.73
rustgraph,as-topology,path,0.1,0.5,0.2,0.81
rustgraph,as-topology,path,0.1,1,0.204,0.8
rustgraph,as-topology,burst,0.01,0.1,0.117,0.95
rustgraph,as-topology,burst,0.01,0.5,0.132,0.92
rustgraph,as-topology,burst,0.01,1,0.111,0.95
rustgraph,as-topology,burst,0.05,0.1,0.274,0.92
rustgraph,as-topology,burst,0.05,0.5,0.343,0.93
rustgraph,as-topology,burst,0.05,1,0.312,0.92
rustgraph,as-topology,burst,0.1,0.1,0.462,0.93
rustgraph,as-topology,burst,0.1,0.5,0.5,0.93
rustgraph,as-topology,burst,0.1,1,0.447,0.91
rustgraph,as-topology,clique,0.01,0.1,0.021,0.77
