method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
sad,as-topology,random,0.01,0.1,0.265,0.97
sad,as-topology,random,0.01,0.5,0.243,0.96
sad,as-topology,random,0.01,1,0.015,0.96
sad,as-topology,random,0.05,0.1,0.119,0.97
sad,as-topology,random,0.05,0.5,0.624,0.98
sad,as-topology,random,0.05,1,0.59,0.96
sad,as-topology,random,0.1,0.1,0.684,0.6
sad,as-topology,random,0.1,0.5,0.773,0.98
sad,as-topology,random,0.1,1,0.127,0.98
sad,as-topology,bridge,0.01,0.1,0.18,0.97
sad,as-topology,bridge,0.01,0.5,0.012,0.91
sad,as-topology,bridge,0.01,1,0.012,0.91
sad,as-topology,bridge,0.05,0.1,0.219,0.81
sad,as-topology,bridge,0.05,0.5,0.294,0.91
sad,as-topology,bridge,0.05,1,0.271,0.85
sad,as-topology,bridge,0.1,0.1,0.12,0.7
sad,as-topology,bridge,0.1,0.5,0.379,0.88
sad,as-topology,bridge,0.1,1,0.367,0.84
sad,as-topology,path,0.01,0.1,0.204,0.98
sad,as-topology,path,0.01,0.5,0.184,0.97
sad,as-topology,path,0.01,1,0.18,0.96
sad,as-topology,path,0.05,0.1,0.479,0.97
sad,as-topology,path,0.05,0.5,0.486,0.96
sad,as-topology,path,0.05,1,0.504,0.96
sad,as-topology,path,0.1,0.1,0.642,0.93
sad,as-topology,path,0.1,0.5,0.121,0.96
sad,as-topology,path,0.1,1,0.653,0.96
sad,as-topology,burst,0.01,0.1,0.006,0.13
sad,as-topology,burst,0.01,0.5,0.01,0.53
sad,as-topology,burst,0.01,1,0.014,0.64
sad,as-topology,burst,0.05,0.1,0.027,0.13
sad,as-topology,burst,0.05,0.5,0.055,0.57
sad,as-topology,burst,0.05,1,0.05,0.53
sad,as-topology,burst,0.1,0.1,0.054,0.15
sad,as-topology,burst,0.1,0.5,0.09,0.52
sad,as-topology,burst,0.1,1,0.087,0.49
sad,as-topology,clique,0.01,0.1,0.012,0.49
sad,as-topology,clique,0.01,0.5,0.038,0.82
sad,as-topology,clique,0.01,1,0.062,0.9
sad,as-topology,clique,0.05,0.1,0.075,0.59
sad,as-topology,clique,0.05,0.5,0.231,0.9
sad,as-topology,clique,0.05,1,0.2,0.89
sad,as-topology,clique,0.1,0.1,0.088,0.47
sad,as-topology,clique,0.1,0.5,0.261,0.82
sad,as-topology,clique,0.1,1,0.261,0.85
sad,bitcoin-alpha,random,0.01,0.1,0.53,0.96
sad,bitcoin-alpha,random,0.01,0.5,0.33,0.97
sad,bitcoin-alpha,random,0.01,1,0.506,0.98
sad,bitcoin-alpha,random,0.05,0.1,0.698,0.97
sad,bitcoin-alpha,random,0.05,0.5,0.705,0.98
sad,bitcoin-alpha,random,0.05,1,0.715,0.96
sad,bitcoin-alpha,random,0.1,0.1,0.85,0.98
sad,bitcoin-alpha,random,0.1,0.5,0.822,0.98
sad,bitcoin-alpha,random,0.1,1,0.758,0.97
sad,bitcoin-alpha,bridge,0.01,0.1,0.26,0.96
sad,bitcoin-alpha,bridge,0.01,0.5,0.31,0.98
sad,bitcoin-alpha,bridge,0.01,1,0.329,0.98
sad,bitcoin-alpha,bridge,0.05,0.1,0.625,0.95
sad,bitcoin-alpha,bridge,0.05,0.5,0.345,0.95
sad,bitcoin-alpha,bridge,0.05,1,0.624,0.95
sad,bitcoin-alpha,bridge,0.1,0.1,0.59,0.94
sad,bitcoin-alpha,bridge,0.1,0.5,0.624,0.94
sad,bitcoin-alpha,bridge,0.1,1,0.51,0.94
sad,bitcoin-alpha,path,0.01,0.1,0.04,0.86
sad,bitcoin-alpha,path,0.01,0.5,0.163,0.89
sad,bitcoin-alpha,path,0.01,1,0.107,0.95
sad,bitcoin-alpha,path,0.05,0.1,0.246,0.91
sad,bitcoin-alpha,path,0.05,0.5,0.223,0.88
sad,bitcoin-alpha,path,0.05,1,0.466,0.92
sad,bitcoin-alpha,path,0.1,0.1,0.22,0.79
sad,bitcoin-alpha,path,0.1,0.5,0.372,0.89
sad,bitcoin-alpha,path,0.1,1,0.593,0.93
sad,bitcoin-alpha,burst,0.01,0.1,0.01,0.28
sad,bitcoin-alpha,burst,0.01,0.5,0.015,0.66
sad,bitcoin-alpha,burst,0.01,1,0.019,0.74
sad,bitcoin-alpha,burst,0.05,0.1,0.038,0.32
sad,bitcoin-alpha,burst,0.05,0.5,0.066,0.64
sad,bitcoin-alpha,burst,0.05,1,0.096,0.77
sad,bitcoin-alpha,burst,0.1,0.1,0.16,0.29
sad,bitcoin-alpha,burst,0.1,0.5,0.11,0.6
sad,bitcoin-alpha,burst,0.1,1,0.174,0.77
sad,bitcoin-alpha,clique,0.01,0.1,0.023,0.5
sad,bitcoin-alpha,clique,0.01,0.5,0.03,0.55
sad,bitcoin-alpha,clique,0.01,1,0.038,0.66
sad,bitcoin-alpha,clique,0.05,0.1,0.037,0.41
sad,bitcoin-alpha,clique,0.05,0.5,0.064,0.51
sad,bitcoin-alpha,clique,0.05,1,0.077,0.67
sad,bitcoin-alpha,clique,0.1,0.1,0.08,0.32
sad,bitcoin-alpha,clique,0.1,0.5,0.14,0.64
sad,bitcoin-alpha,clique,0.1,1,0.181,0.74
sad,bitcoin-otc,random,0.01,0.1,0.4,0.98
sad,bitcoin-otc,random,0.01,0.5,0.37,0.97
sad,bitcoin-otc,random,0.01,1,0.369,0.97
sad,bitcoin-otc,random,0.05,0.1,0.7,0.98
sad,bitcoin-otc,random,0.05,0.5,0.672,0.97
sad,bitcoin-otc,random,0.05,1,0.694,0.97
sad,bitcoin-otc,random,0.1,0.1,0.82,0.98
sad,bitcoin-otc,random,0.1,0.5,0.794,0.97
sad,bitcoin-otc,random,0.1,1,0.814,0.98
sad,bitcoin-otc,bridge,0.01,0.1,0.82,0.96
sad,bitcoin-otc,bridge,0.01,0.5,0.82,0.96
sad,bitcoin-otc,bridge,0.01,1,0.346,0.97
sad,bitcoin-otc,bridge,0.05,0.1,0.586,0.97
sad,bitcoin-otc,bridge,0.05,0.5,0.541,0.97
sad,bitcoin-otc,bridge,0.05,1,0.583,0.96
sad,bitcoin-otc,bridge,0.1,0.1,0.65,0.96
sad,bitcoin-otc,bridge,0.1,0.5,0.643,0.96
sad,bitcoin-otc,bridge,0.1,1,0.626,0.96
sad,bitcoin-otc,path,0.01,0.1,0.16,0.85
sad,bitcoin-otc,path,0.01,0.5,0.165,0.94
sad,bitcoin-otc,path,0.01,1,0.174,0.96
sad,bitcoin-otc,path,0.05,0.1,0.22,0.89
sad,bitcoin-otc,path,0.05,0.5,0.409,0.94
sad,bitcoin-otc,path,0.05,1,0.486,0.95
sad,bitcoin-otc,path,0.1,0.1,0.313,0.87
sad,bitcoin-otc,path,0.1,0.5,0.612,0.95
sad,bitcoin-otc,path,0.1,1,0.669,0.96
sad,bitcoin-otc,burst,0.01,0.1,0.02,0.24
sad,bitcoin-otc,burst,0.01,0.5,0.026,0.62
sad,bitcoin-otc,burst,0.01,1,0.031,0.77
sad,bitcoin-otc,burst,0.05,0.1,0.035,0.27
sad,bitcoin-otc,burst,0.05,0.5,0.061,0.62
sad,bitcoin-otc,burst,0.05,1,0.09,0.75
sad,bitcoin-otc,burst,0.1,0.1,0.062,0.27
sad,bitcoin-otc,burst,0.1,0.5,0.1,0.57
sad,bitcoin-otc,burst,0.1,1,0.152,0.74
sad,bitcoin-otc,clique,0.01,0.1,0.02,0.41
sad,bitcoin-otc,clique,0.01,0.5,0.036,0.64
sad,bitcoin-otc,clique,0.01,1,0.04,0.85
sad,bitcoin-otc,clique,0.05,0.1,0.044,0.42
sad,bitcoin-otc,clique,0.05,0.5,0.063,0.61
sad,bitcoin-otc,clique,0.05,1,0.122,0.75
sad,bitcoin-otc,clique,0.1,0.1,0.071,0.38
sad,bitcoin-otc,clique,0.1,0.5,0.12,0.64
sad,bitcoin-otc,clique,0.1,1,0.218,0.82
sad,digg-homo,random,0.01,0.1,0.057,0.89
sad,digg-homo,random,0.01,0.5,0.053,0.87
sad,digg-homo,random,0.01,1,0.073,0.89
sad,digg-homo,random,0.05,0.1,0.213,0.87
sad,digg-homo,random,0.05,0.5,0.212,0.87
sad,digg-homo,random,0.05,1,0.218,0.87
sad,digg-homo,random,0.1,0.1,0.35,0.87
sad,digg-homo,random,0.1,0.5,0.371,0.87
sad,digg-homo,random,0.1,1,0.348,0.87
sad,digg-homo,bridge,0.01,0.1,0.036,0.83
sad,digg-homo,bridge,0.01,0.5,0.036,0.81
sad,digg-homo,bridge,0.01,1,0.039,0.83
sad,digg-homo,bridge,0.05,0.1,0.065,0.62
sad,digg-homo,bridge,0.05,0.5,0.082,0.69
sad,digg-homo,bridge,0.05,1,0.081,0.69
sad,digg-homo,bridge,0.1,0.1,0.087,0.48
sad,digg-homo,bridge,0.1,0.5,0.104,0.54
sad,digg-homo,bridge,0.1,1,0.096,0.55
sad,digg-homo,path,0.01,0.1,0.011,0.59
sad,digg-homo,path,0.01,0.5,0.01,0.46
sad,digg-homo,path,0.01,1,0.016,0.67
sad,digg-homo,path,0.05,0.1,0.058,0.63
sad,digg-homo,path,0.05,0.5,0.061,0.64
sad,digg-homo,path,0.05,1,0.047,0.51
sad,digg-homo,path,0.1,0.1,0.075,0.42
sad,digg-homo,path,0.1,0.5,0.141,0.71
sad,digg-homo,path,0.1,1,0.113,0.64
sad,digg-homo,burst,0.01,0.1,0.005,0.12
sad,digg-homo,burst,0.01,0.5,0.007,0.29
sad,digg-homo,burst,0.01,1,0.008,0.45
sad,digg-homo,burst,0.05,0.1,0.026,0.1
sad,digg-homo,burst,0.05,0.5,0.032,0.23
sad,digg-homo,burst,0.05,1,0.038,0.32
sad,digg-homo,burst,0.1,0.1,0.05,0.11
sad,digg-homo,burst,0.1,0.5,0.064,0.23
sad,digg-homo,burst,0.1,1,0.064,0.32
sad,digg-homo,clique,0.01,0.1,0.008,0.1
sad,digg-homo,clique,0.01,0.5,0.008,0.14
sad,digg-homo,clique,0.01,1,0.008,0.21
sad,digg-homo,clique,0.05,0.1,0.026,0.04
sad,digg-homo,clique,0.05,0.5,0.028,0.14
sad,digg-homo,clique,0.05,1,0.029,0.18
sad,digg-homo,clique,0.1,0.1,0.049,0.08
sad,digg-homo,clique,0.1,0.5,0.051,0.13
sad,digg-homo,clique,0.1,1,0.056,0.22
sad,email-dnc,random,0.01,0.1,0.072,0.92
sad,email-dnc,random,0.01,0.5,0.07,0.9
sad,email-dnc,random,0.01,1,0.069,0.91
sad,email-dnc,random,0.05,0.1,0.258,0.89
sad,email-dnc,random,0.05,0.5,0.263,0.91
sad,email-dnc,random,0.05,1,0.273,0.92
sad,email-dnc,random,0.1,0.1,0.424,0.89
sad,email-dnc,random,0.1,0.5,0.43,0.91
sad,email-dnc,random,0.1,1,0.434,0.91
sad,email-dnc,bridge,0.01,0.1,0.053,0.87
sad,email-dnc,bridge,0.01,0.5,0.059,0.89
sad,email-dnc,bridge,0.01,1,0.064,0.93
sad,email-dnc,bridge,0.05,0.1,0.199,0.88
sad,email-dnc,bridge,0.05,0.5,0.156,0.85
sad,email-dnc,bridge,0.05,1,0.178,0.88
sad,email-dnc,bridge,0.1,0.1,0.237,0.79
sad,email-dnc,bridge,0.1,0.5,0.259,0.84
sad,email-dnc,bridge,0.1,1,0.247,0.82
sad,email-dnc,path,0.01,0.1,0.05,0.88
sad,email-dnc,path,0.01,0.5,0.048,0.9
sad,email-dnc,path,0.01,1,0.05,0.84
sad,email-dnc,path,0.05,0.1,0.167,0.85
