method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
slade,as-topology,random,0.01,0.1,,0.7
slade,as-topology,random,0.01,0.5,,0.82
slade,as-topology,random,0.01,1,,0.82
slade,as-topology,random,0.05,0.1,,0.79
slade,as-topology,random,0.05,0.5,,0.7
slade,as-topology,random,0.05,1,,0.74
slade,as-topology,random,0.1,0.1,0.181,0.74
slade,as-topology,random,0.1,0.5,0.22,0.78
slade,as-topology,random,0.1,1,,0.78
slade,as-topology,bridge,0.01,0.1,,0.78
slade,as-topology,bridge,0.01,0.5,,0.74
slade,as-topology,bridge,0.01,1,,0.78
slade,as-topology,bridge,0.05,0.1,,0.67
slade,as-topology,bridge,0.05,0.5,,0.62
slade,as-topology,bridge,0.05,1,,0.67
slade,as-topology,bridge,0.1,0.1,,0.63
slade,as-topology,bridge,0.1,0.5,,0.67
slade,as-topology,bridge,0.1,1,,0.62
slade,as-topology,path,0.01,0.1,0.031,0.83
slade,as-topology,path,0.01,0.5,0.035,0.82
slade,as-topology,path,0.01,1,0.045,0.84
slade,as-topology,path,0.05,0.1,0.139,0.79
slade,as-topology,path,0.05,0.5,0.137,0.7
slade,as-topology,path,0.05,1,0.119,0.74
slade,as-topology,path,0.1,0.1,0.234,0.8
slade,as-topology,path,0.1,0.5,0.219,0.8
slade,as-topology,path,0.1,1,0.144,0.71
slade,as-topology,burst,0.01,0.1,0.02,0.75
slade,as-topology,burst,0.01,0.5,0.045,0.67
slade,as-topology,burst,0.01,1,0.007,0.27
slade,as-topology,burst,0.05,0.1,0.147,0.85
slade,as-topology,burst,0.05,0.5,0.069,0.65
slade,as-topology,burst,0.05,1,0.032,0.31
slade,as-topology,burst,0.1,0.1,0.227,0.8
slade,as-topology,burst,0.1,0.5,0.195,0.56
slade,as-topology,burst,0.1,1,0.078,0.38
slade,as-topology,clique,0.01,0.1,0.032,0.78
slade,as-topology,clique,0.01,0.5,0.015,0.65
slade,as-topology,clique,0.01,1,0.01,0.51
slade,as-topology,clique,0.05,0.1,0.107,0.75
slade,as-topology,clique,0.05,0.5,0.063,0.63
slade,as-topology,clique,0.05,1,0.043,0.41
slade,as-topology,clique,0.1,0.1,0.173,0.72
slade,as-topology,clique,0.1,0.5,0.139,0.68
slade,as-topology,clique,0.1,1,0.075,0.42
slade,bitcoin-alpha,random,0.01,0.1,0.015,0.55
slade,bitcoin-alpha,random,0.01,0.5,0.03,0.63
slade,bitcoin-alpha,random,0.01,1,0.014,0.68
slade,bitcoin-alpha,random,0.05,0.1,0.09,0.65
slade,bitcoin-alpha,random,0.05,0.5,0.07,0.62
slade,bitcoin-alpha,random,0.05,1,0.094,0.67
slade,bitcoin-alpha,random,0.1,0.1,0.112,0.45
slade,bitcoin-alpha,random,0.1,0.5,0.11,0.54
slade,bitcoin-alpha,random,0.1,1,0.143,0.64
slade,bitcoin-alpha,bridge,0.01,0.1,0.03,0.65
slade,bitcoin-alpha,bridge,0.01,0.5,0.016,0.66
slade,bitcoin-alpha,bridge,0.01,1,0.084,0.66
slade,bitcoin-alpha,bridge,0.05,0.1,0.06,0.51
slade,bitcoin-alpha,bridge,0.05,0.5,0.06,0.56
slade,bitcoin-alpha,bridge,0.05,1,0.08,0.54
slade,bitcoin-alpha,bridge,0.1,0.1,0.121,0.43
slade,bitcoin-alpha,bridge,0.1,0.5,0.1,0.5
slade,bitcoin-alpha,bridge,0.1,1,0.086,0.47
slade,bitcoin-alpha,path,0.01,0.1,0.017,0.59
slade,bitcoin-alpha,path,0.01,0.5,0.023,0.54
slade,bitcoin-alpha,path,0.01,1,0.028,0.63
slade,bitcoin-alpha,path,0.05,0.1,0.076,0.66
slade,bitcoin-alpha,path,0.05,0.5,0.09,0.62
slade,bitcoin-alpha,path,0.05,1,0.053,0.47
slade,bitcoin-alpha,path,0.1,0.1,0.132,0.62
slade,bitcoin-alpha,path,0.1,0.5,0.111,0.49
slade,bitcoin-alpha,path,0.1,1,0.132,0.45
slade,bitcoin-alpha,burst,0.01,0.1,0.019,0.72
slade,bitcoin-alpha,burst,0.01,0.5,0.045,0.36
slade,bitcoin-alpha,burst,0.01,1,0.015,0.4
slade,bitcoin-alpha,burst,0.05,0.1,0.06,0.35
slade,bitcoin-alpha,burst,0.05,0.5,0.04,0.33
slade,bitcoin-alpha,burst,0.05,1,0.032,0.36
slade,bitcoin-alpha,burst,0.1,0.1,0.132,0.61
slade,bitcoin-alpha,burst,0.1,0.5,0.15,0.43
slade,bitcoin-alpha,burst,0.1,1,0.063,0.26
slade,bitcoin-alpha,clique,0.01,0.1,0.033,0.6
slade,bitcoin-alpha,clique,0.01,0.5,0.025,0.44
slade,bitcoin-alpha,clique,0.01,1,0.016,0.3
slade,bitcoin-alpha,clique,0.05,0.1,0.058,0.57
slade,bitcoin-alpha,clique,0.05,0.5,0.053,0.33
slade,bitcoin-alpha,clique,0.05,1,0.044,0.27
slade,bitcoin-alpha,clique,0.1,0.1,0.154,0.55
slade,bitcoin-alpha,clique,0.1,0.5,0.082,0.37
slade,bitcoin-alpha,clique,0.1,1,0.083,0.3
slade,bitcoin-otc,random,0.01,0.1,0.02,0.72
slade,bitcoin-otc,random,0.01,0.5,0.02,0.7
slade,bitcoin-otc,random,0.01,1,0.018,0.69
slade,bitcoin-otc,random,0.05,0.1,0.081,0.7
slade,bitcoin-otc,random,0.05,0.5,0.078,0.67
slade,bitcoin-otc,random,0.05,1,0.077,0.68
slade,bitcoin-otc,random,0.1,0.1,0.149,0.69
slade,bitcoin-otc,random,0.1,0.5,0.144,0.67
slade,bitcoin-otc,random,0.1,1,0.146,0.69
slade,bitcoin-otc,bridge,0.01,0.1,0.02,0.67
slade,bitcoin-otc,bridge,0.01,0.5,0.02,0.67
slade,bitcoin-otc,bridge,0.01,1,0.016,0.66
slade,bitcoin-otc,bridge,0.05,0.1,0.067,0.6
slade,bitcoin-otc,bridge,0.05,0.5,0.067,0.61
slade,bitcoin-otc,bridge,0.05,1,0.062,0.61
slade,bitcoin-otc,bridge,0.1,0.1,0.105,0.56
slade,bitcoin-otc,bridge,0.1,0.5,0.113,0.56
slade,bitcoin-otc,bridge,0.1,1,0.105,0.56
slade,bitcoin-otc,path,0.01,0.1,0.02,0.69
slade,bitcoin-otc,path,0.01,0.5,0.02,0.66
slade,bitcoin-otc,path,0.01,1,0.016,0.65
slade,bitcoin-otc,path,0.05,0.1,0.081,0.68
slade,bitcoin-otc,path,0.05,0.5,0.079,0.66
slade,bitcoin-otc,path,0.05,1,0.077,0.65
slade,bitcoin-otc,path,0.1,0.1,0.15,0.69
slade,bitcoin-otc,path,0.1,0.5,0.143,0.67
slade,bitcoin-otc,path,0.1,1,0.135,0.66
slade,bitcoin-otc,burst,0.01,0.1,0.024,0.67
slade,bitcoin-otc,burst,0.01,0.5,0.016,0.3
slade,bitcoin-otc,burst,0.01,1,0.009,0.22
slade,bitcoin-otc,burst,0.05,0.1,0.074,0.6
slade,bitcoin-otc,burst,0.05,0.5,0.049,0.38
slade,bitcoin-otc,burst,0.05,1,0.032,0.24
slade,bitcoin-otc,burst,0.1,0.1,0.15,0.66
slade,bitcoin-otc,burst,0.1,0.5,0.09,0.44
slade,bitcoin-otc,burst,0.1,1,0.058,0.23
slade,bitcoin-otc,clique,0.01,0.1,0.021,0.7
slade,bitcoin-otc,clique,0.01,0.5,0.023,0.38
slade,bitcoin-otc,clique,0.01,1,0.008,0.33
slade,bitcoin-otc,clique,0.05,0.1,0.092,0.69
slade,bitcoin-otc,clique,0.05,0.5,0.064,0.48
slade,bitcoin-otc,clique,0.05,1,0.037,0.31
slade,bitcoin-otc,clique,0.1,0.1,0.14,0.65
slade,bitcoin-otc,clique,0.1,0.5,0.09,0.44
slade,bitcoin-otc,clique,0.1,1,0.065,0.32
slade,digg-homo,random,0.01,0.1,0.016,0.67
slade,digg-homo,random,0.01,0.5,0.015,0.66
slade,digg-homo,random,0.01,1,0.016,0.68
slade,digg-homo,random,0.05,0.1,0.071,0.65
slade,digg-homo,random,0.05,0.5,0.07,0.65
slade,digg-homo,random,0.05,1,0.071,0.65
slade,digg-homo,random,0.1,0.1,0.126,0.63
slade,digg-homo,random,0.1,0.5,0.129,0.64
slade,digg-homo,random,0.1,1,0.134,0.66
slade,digg-homo,bridge,0.01,0.1,0.012,0.58
slade,digg-homo,bridge,0.01,0.5,0.02,0.65
slade,digg-homo,bridge,0.01,1,0.013,0.58
slade,digg-homo,bridge,0.05,0.1,0.049,0.5
slade,digg-homo,bridge,0.05,0.5,0.049,0.51
slade,digg-homo,bridge,0.05,1,0.047,0.49
slade,digg-homo,bridge,0.1,0.1,0.076,0.41
slade,digg-homo,bridge,0.1,0.5,0.075,0.41
slade,digg-homo,bridge,0.1,1,0.08,0.44
slade,digg-homo,path,0.01,0.1,0.016,0.64
slade,digg-homo,path,0.01,0.5,0.014,0.62
slade,digg-homo,path,0.01,1,0.013,0.6
slade,digg-homo,path,0.05,0.1,0.07,0.65
slade,digg-homo,path,0.05,0.5,0.063,0.61
slade,digg-homo,path,0.05,1,0.058,0.58
