method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
strgnn,as-topology,random,0.01,0.1,0.218,0.97
strgnn,as-topology,random,0.01,0.5,0.247,0.97
strgnn,as-topology,random,0.01,1,0.252,0.98
strgnn,as-topology,random,0.05,0.1,0.581,0.97
strgnn,as-topology,random,0.05,0.5,0.552,0.97
strgnn,as-topology,random,0.05,1,0.563,0.97
strgnn,as-topology,random,0.1,0.1,0.708,0.97
strgnn,as-topology,random,0.1,0.5,0.661,0.97
strgnn,as-topology,random,0.1,1,0.662,0.97
strgnn,as-topology,bridge,0.01,0.1,0.093,0.94
strgnn,as-topology,bridge,0.01,0.5,0.065,0.92
strgnn,as-topology,bridge,0.01,1,0.078,0.93
strgnn,as-topology,bridge,0.05,0.1,0.138,0.84
strgnn,as-topology,bridge,0.05,0.5,0.138,0.83
strgnn,as-topology,bridge,0.05,1,0.15,0.83
strgnn,as-topology,bridge,0.1,0.1,0.176,0.76
strgnn,as-topology,bridge,0.1,0.5,0.173,0.76
strgnn,as-topology,bridge,0.1,1,0.187,0.76
strgnn,as-topology,path,0.01,0.1,0.047,0.91
strgnn,as-topology,path,0.01,0.5,0.046,0.91
strgnn,as-topology,path,0.01,1,0.056,0.92
strgnn,as-topology,path,0.05,0.1,0.198,0.91
strgnn,as-topology,path,0.05,0.5,0.196,0.91
strgnn,as-topology,path,0.05,1,0.23,0.92
strgnn,as-topology,path,0.1,0.1,0.304,0.9
strgnn,as-topology,path,0.1,0.5,0.315,0.91
strgnn,as-topology,path,0.1,1,0.349,0.92
strgnn,as-topology,burst,0.01,0.1,0.015,0.67
strgnn,as-topology,burst,0.01,0.5,0.012,0.61
strgnn,as-topology,burst,0.01,1,0.013,0.62
strgnn,as-topology,burst,0.05,0.1,0.064,0.66
strgnn,as-topology,burst,0.05,0.5,0.04,0.6
strgnn,as-topology,burst,0.05,1,0.059,0.63
strgnn,as-topology,burst,0.1,0.1,0.124,0.67
strgnn,as-topology,burst,0.1,0.5,0.083,0.61
strgnn,as-topology,burst,0.1,1,0.112,0.64
strgnn,as-topology,clique,0.01,0.1,0.011,0.54
strgnn,as-topology,clique,0.01,0.5,0.009,0.42
strgnn,as-topology,clique,0.01,1,0.009,0.45
strgnn,as-topology,clique,0.05,0.1,0.054,0.55
strgnn,as-topology,clique,0.05,0.5,0.04,0.49
strgnn,as-topology,clique,0.05,1,0.058,0.63
strgnn,as-topology,clique,0.1,0.1,0.112,0.5
strgnn,as-topology,clique,0.1,0.5,0.084,0.58
strgnn,as-topology,clique,0.1,1,0.096,0.63
strgnn,bitcoin-alpha,random,0.01,0.1,0.492,0.98
strgnn,bitcoin-alpha,random,0.01,0.5,0.604,0.99
strgnn,bitcoin-alpha,random,0.01,1,0.469,0.98
strgnn,bitcoin-alpha,random,0.05,0.1,0.805,0.99
strgnn,bitcoin-alpha,random,0.05,0.5,0.83,0.99
strgnn,bitcoin-alpha,random,0.05,1,0.786,0.98
strgnn,bitcoin-alpha,random,0.1,0.1,0.89,0.98
strgnn,bitcoin-alpha,random,0.1,0.5,0.89,0.99
strgnn,bitcoin-alpha,random,0.1,1,0.885,0.98
strgnn,bitcoin-alpha,bridge,0.01,0.1,0.61,0.99
strgnn,bitcoin-alpha,bridge,0.01,0.5,0.544,0.99
strgnn,bitcoin-alpha,bridge,0.01,1,0.496,0.99
strgnn,bitcoin-alpha,bridge,0.05,0.1,0.495,0.95
strgnn,bitcoin-alpha,bridge,0.05,0.5,0.54,0.96
