method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
taddy,as-topology,random,0.01,0.1,0.055,0.91
taddy,as-topology,random,0.01,0.5,0.052,0.9
taddy,as-topology,random,0.01,1,0.053,0.9
taddy,as-topology,random,0.05,0.1,0.209,0.9
taddy,as-topology,random,0.05,0.5,0.194,0.88
taddy,as-topology,random,0.05,1,0.211,0.9
taddy,as-topology,random,0.1,0.1,0.36,0.9
taddy,as-topology,random,0.1,0.5,0.364,0.91
taddy,as-topology,random,0.1,1,0.338,0.9
taddy,as-topology,bridge,0.01,0.1,0.047,0.89
taddy,as-topology,bridge,0.01,0.5,0.045,0.88
taddy,as-topology,bridge,0.01,1,0.057,0.9
taddy,as-topology,bridge,0.05,0.1,0.136,0.81
taddy,as-topology,bridge,0.05,0.5,0.121,0.75
taddy,as-topology,bridge,0.05,1,0.157,0.83
taddy,as-topology,bridge,0.1,0.1,0.185,0.7
taddy,as-topology,bridge,0.1,0.5,0.156,0.67
taddy,as-topology,bridge,0.1,1,0.188,0.83
taddy,as-topology,path,0.01,0.1,0.035,0.83
taddy,as-topology,path,0.01,0.5,0.033,0.84
taddy,as-topology,path,0.01,1,0.035,0.85
taddy,as-topology,path,0.05,0.1,0.133,0.82
taddy,as-topology,path,0.05,0.5,0.129,0.83
taddy,as-topology,path,0.05,1,0.152,0.85
taddy,as-topology,path,0.1,0.1,0.295,0.86
taddy,as-topology,path,0.1,0.5,0.233,0.83
taddy,as-topology,path,0.1,1,0.265,0.84
taddy,as-topology,burst,0.01,0.1,0.021,0.68
taddy,as-topology,burst,0.01,0.5,0.021,0.74
taddy,as-topology,burst,0.01,1,0.042,0.82
taddy,as-topology,burst,0.05,0.1,0.076,0.69
taddy,as-topology,burst,0.05,0.5,0.142,0.8
taddy,as-topology,burst,0.05,1,0.164,0.84
taddy,as-topology,burst,0.1,0.1,0.138,0.7
taddy,as-topology,burst,0.1,0.5,0.207,0.81
taddy,as-topology,burst,0.1,1,0.251,0.84
taddy,as-topology,clique,0.01,0.1,0.016,0.54
taddy,as-topology,clique,0.01,0.5,0.022,0.69
taddy,as-topology,clique,0.01,1,0.037,0.8
taddy,as-topology,clique,0.05,0.1,0.054,0.51
taddy,as-topology,clique,0.05,0.5,0.089,0.74
taddy,as-topology,clique,0.05,1,0.15,0.79
taddy,as-topology,clique,0.1,0.1,0.122,0.58
taddy,as-topology,clique,0.1,0.5,0.157,0.73
taddy,as-topology,clique,0.1,1,0.243,0.8
taddy,bitcoin-alpha,random,0.01,0.1,0.174,0.91
taddy,bitcoin-alpha,random,0.01,0.5,0.27,0.96
taddy,bitcoin-alpha,random,0.01,1,0.145,0.93
taddy,bitcoin-alpha,random,0.05,0.1,0.453,0.91
taddy,bitcoin-alpha,random,0.05,0.5,0.4,0.92
taddy,bitcoin-alpha,random,0.05,1,0.414,0.92
taddy,bitcoin-alpha,random,0.1,0.1,0.49,0.9
